주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
166-2-000032,남새싹5길,공영,노외,인천광역시 부평구 남부역로17번길 26(부평동) 일원,인천광역시 부평구 부평동 747-3,5,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,인천광역시 부평구시설관리공단,032-262-9220,37.48903538,126.720057,2021-01-04,3540000,인천광역시 부평구
166-2-000034,화랑로,공영,노외,인천광역시 부평구 화랑로 124(산곡동) 일원,인천광역시 부평구 산곡동 371-82,54,4,요일제,평일+토요일+공휴일,09:00,19:00,09:00,17:00,09:00,17:00,유료,30,300,15,150,300,3000,30000,현금,,인천광역시 부평구시설관리공단,032-262-9220,37.4936086,126.702259,2021-01-04,3540000,인천광역시 부평구
166-2-000035,늘봄1길,공영,노외,인천광역시 부평구 동수북로60번길 1,인천광역시 부평구 부평동 767-190,5,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,인천광역시 부평구시설관리공단,032-262-9220,37.48719899,126.7138465,2021-01-04,3540000,인천광역시 부평구
166-2-000036,남부역1길,공영,노외,인천광역시 부평구 장제로27번길 17(부평동) 인근,인천광역시 부평구 부평동 610-3,10,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,인천광역시 부평구시설관리공단,032-262-9220,37.48791539,126.7281473,2021-01-04,3540000,인천광역시 부평구
166-2-000037,산곡배움2길,공영,노외,인천광역시 부평구 화랑남로9번길 20(산곡동) 일원,인천광역시 부평구 산곡동 311-102,8,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,인천광역시 부평구시설관리공단,032-262-9220,37.4934246,126.7060426,2021-01-04,3540000,인천광역시 부평구
166-2-000040,경인로1024번길,공영,노외,인천광역시 부평구 경인로1024번길 12-13(부개동) 일원,"인천광역시 부평구 부개동 240-5,6번지 일원",20,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,0,0,0,0,40000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.486148,126.7330149,2021-01-04,3540000,인천광역시 부평구
166-2-000041,무지개아파트옆,공영,노외,인천광역시 부평구 부흥로111번길 58(산곡동) 일원,인천광역시 부평구 산곡동 254-3,13,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,인천광역시 부평구시설관리공단,032-262-9220,37.50072123,126.7044694,2021-01-04,3540000,인천광역시 부평구
166-2-000042,남부고가,공영,노외,인천광역시 부평구 동수북로102(부평동) 일원,"인천광역시 부평구 부평동 738-2, 5번지 일원",30,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,0,0,0,0,40000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.4890468,126.717625,2021-01-04,3540000,인천광역시 부평구
166-2-000043,사랑샘공원,공영,노외,인천광역시 부평구 후정로 35(삼산동) 인근,인천광역시 부평구 삼산동 497,101,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,0,0,0,0,30000,현금+카드,,인천광역시 부평구시설관리공단,032-262-9220,37.52087835,126.7364054,2021-01-04,3540000,인천광역시 부평구
166-2-000044,청천2동,공영,노외,인천광역시 부평구 세월천로40번길 37(청천동) 일원,인천광역시 부평구 청천동 178-17,18,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,,,,,,,,인천광역시 부평구시설관리공단,032-262-9220,37.51473881,126.7051042,2021-01-04,3540000,인천광역시 부평구
